Time (s),Number of Rotations,Current Rotary Speed (rad/s),Current Distance (m),Current Linear Speed (m/s)
0.00,0.00,0.00,0.00,0.00
0.10,0.00,0.00,0.00,0.00
0.20,0.00,0.00,0.00,0.00
0.30,0.00,0.00,0.00,0.00
0.40,0.00,0.00,0.00,0.00
0.50,0.00,0.00,0.00,0.00
0.60,1.50,94.25,0.04,0.04
0.70,6.00,282.74,0.16,0.12
0.80,12.75,424.12,0.34,0.18
0.90,21.25,534.07,0.56,0.22
1.00,32.25,691.15,0.85,0.29
1.10,47.25,942.48,1.25,0.40
1.20,64.25,1068.14,1.70,0.45
1.30,86.00,1366.59,2.27,0.57
1.40,109.75,1492.26,2.90,0.63
1.50,135.75,1633.63,3.58,0.69
1.60,160.50,1555.09,4.24,0.65
1.70,160.75,15.71,4.24,0.01
1.80,160.75,0.00,4.24,0.00
1.90,160.75,0.00,4.24,0.00
