Time (s),Number of Rotations,Current Rotary Speed (rad/s),Current Distance (m),Current Linear Speed (m/s)
0.00,0.00,0.00,0.00,0.00
0.10,0.00,0.00,0.00,0.00
0.20,0.00,0.00,0.00,0.00
0.30,0.00,0.00,0.00,0.00
0.40,0.00,0.00,0.00,0.00
0.50,0.00,0.00,0.00,0.00
0.60,0.00,0.00,0.00,0.00
0.70,0.00,0.00,0.00,0.00
0.80,0.25,15.71,0.01,0.01
0.90,0.75,31.42,0.02,0.01
1.00,1.50,47.12,0.04,0.02
1.10,2.50,62.83,0.07,0.03
1.20,3.50,62.83,0.09,0.03
1.30,4.50,62.83,0.12,0.03
1.40,5.50,62.83,0.15,0.03
1.50,6.25,47.12,0.16,0.02
1.60,7.00,47.12,0.18,0.02
1.70,7.75,47.12,0.20,0.02
1.80,8.50,47.12,0.22,0.02
1.90,9.25,47.12,0.24,0.02
2.00,10.00,47.12,0.26,0.02
2.10,10.75,47.12,0.28,0.02
2.20,11.50,47.12,0.30,0.02
2.30,12.25,47.12,0.32,0.02
2.40,13.00,47.12,0.34,0.02
2.50,13.75,47.12,0.36,0.02
2.60,14.50,47.12,0.38,0.02
2.70,15.25,47.12,0.40,0.02
2.80,16.00,47.12,0.42,0.02
2.90,16.75,47.12,0.44,0.02
3.00,17.50,47.12,0.46,0.02
3.10,18.25,47.12,0.48,0.02
3.20,19.00,47.12,0.50,0.02
3.30,19.50,31.42,0.51,0.01
3.40,20.25,47.12,0.53,0.02
3.50,21.00,47.12,0.55,0.02
3.60,21.75,47.12,0.57,0.02
3.70,22.50,47.12,0.59,0.02
3.80,23.25,47.12,0.61,0.02
3.90,24.00,47.12,0.63,0.02
4.00,24.75,47.12,0.65,0.02
4.10,25.50,47.12,0.67,0.02
4.20,26.25,47.12,0.69,0.02
4.30,27.00,47.12,0.71,0.02
4.40,27.75,47.12,0.73,0.02
4.50,28.50,47.12,0.75,0.02
4.60,29.25,47.12,0.77,0.02
4.70,30.00,47.12,0.79,0.02
4.80,30.75,47.12,0.81,0.02
4.90,31.50,47.12,0.83,0.02
5.00,32.25,47.12,0.85,0.02
5.10,33.00,47.12,0.87,0.02
5.20,33.75,47.12,0.89,0.02
5.30,34.25,31.42,0.90,0.01
5.40,35.25,62.83,0.93,0.03
5.50,35.75,31.42,0.94,0.01
5.60,36.50,47.12,0.96,0.02
5.70,37.25,47.12,0.98,0.02
5.80,38.00,47.12,1.00,0.02
5.90,38.75,47.12,1.02,0.02
6.00,39.50,47.12,1.04,0.02
6.10,40.25,47.12,1.06,0.02
6.20,41.00,47.12,1.08,0.02
6.30,41.75,47.12,1.10,0.02
6.40,42.50,47.12,1.12,0.02
6.50,43.25,47.12,1.14,0.02
6.60,44.00,47.12,1.16,0.02
6.70,44.75,47.12,1.18,0.02
6.80,45.50,47.12,1.20,0.02
6.90,46.25,47.12,1.22,0.02
7.00,46.75,31.42,1.23,0.01
7.10,47.50,47.12,1.25,0.02
7.20,48.25,47.12,1.27,0.02
7.30,49.00,47.12,1.29,0.02
7.40,49.75,47.12,1.31,0.02
7.50,50.50,47.12,1.33,0.02
7.60,51.25,47.12,1.35,0.02
7.70,52.00,47.12,1.37,0.02
7.80,52.75,47.12,1.39,0.02
7.90,53.50,47.12,1.41,0.02
8.00,54.25,47.12,1.43,0.02
8.10,55.00,47.12,1.45,0.02
8.20,55.50,31.42,1.46,0.01
8.30,56.25,47.12,1.48,0.02
8.40,57.00,47.12,1.50,0.02
8.50,57.75,47.12,1.52,0.02
8.60,58.50,47.12,1.54,0.02
8.70,59.25,47.12,1.56,0.02
8.80,60.00,47.12,1.58,0.02
8.90,60.75,47.12,1.60,0.02
9.00,61.50,47.12,1.62,0.02
9.10,62.25,47.12,1.64,0.02
9.20,63.00,47.12,1.66,0.02
9.30,63.50,31.42,1.68,0.01
9.40,64.25,47.12,1.70,0.02
9.50,64.75,31.42,1.71,0.01
9.60,64.75,0.00,1.71,0.00
9.70,64.75,0.00,1.71,0.00
